date_reported,weekly_new_cases,weekly_new_deaths,week
2021/1/1,4565559,85398,52
2021/1/8,5047705,97468,53
2021/1/15,4496736,100317,54
2021/1/22,3956855,101971,55
2021/1/29,3477884,94844,56
2021/2/5,2892850,82476,57
2021/2/12,2574016,74982,58
2021/2/19,2562442,64789,59
2021/2/26,2687743,61650,60
2021/3/5,2843990,59623,61
2021/3/12,3150708,62006,62
2021/3/19,3618146,67542,63
2021/3/26,4021088,71674,64
2021/4/2,4220508,75552,65
2021/4/9,5038294,85656,66
2021/4/16,5545847,89863,67
2021/4/23,5701524,94305,68
2021/4/30,5555595,93421,69
2021/5/7,5208871,90951,70
2021/5/14,4457315,87327,71
2021/5/21,3853217,81168,72
2021/5/28,3233888,73530,73
2021/6/4,2737274,68924,74
2021/6/11,2594634,68829,75
2021/6/18,2563398,57336,76
2021/6/25,2711635,54322,77
2021/7/2,2899491,54501,78
2021/7/9,3512236,56074,79
2021/7/16,3670669,68343,80
2021/7/23,4004582,62261,81
2021/7/30,4269501,66536,82
2021/8/6,4504145,69739,83
2021/8/13,4572408,69985,84
2021/8/20,4577376,71818,85
2021/8/27,4480657,69152,86
2021/9/3,4142083,64828,87
2021/9/10,3818813,61269,88
2021/9/17,3643947,57663,89
2021/9/24,3242480,54123,90
2021/10/1,3016416,49074,91
2021/10/8,2921805,47445,92
2021/10/15,2937005,47051,93
2021/10/22,3039634,50327,94
2021/10/29,3142439,49509,95
2021/11/5,3359859,50083,96
2021/11/12,3639347,51393,97
2021/11/19,4033262,54512,98
2021/11/26,4028090,49901,99
2021/12/3,4382234,52770,100
2021/12/10,4391324,48484,101
2021/12/17,5160238,46805,102
2021/12/24,7622089,45199,103
2021/12/31,13534830,42982,104
2022/1/7,19169258,49280,105

